cat_no,cat_nm,item_cd,item_nm,ssg_price,unit,rate,rate_cnt
6000098014,면류/즉석식품/소스/오일,1000018141146,덴마크 사워크림 450g,"4,990","(100g당:1,109원)",별점 4.86점,"(3,857개)"
6000098014,면류/즉석식품/소스/오일,1000033514905,짜장면 135gX4개입,"2,980",(1개당:745원),별점 4.91점,"(15,184개)"
6000098014,면류/즉석식품/소스/오일,0000006609402,[오뚜기] 고소한 참기름 320ml,"8,580",(10ml당:269원),별점 4.93점,"(13,224개)"
6000098014,면류/즉석식품/소스/오일,0000006618834,CJ백설 진한참기름 500ml(캔),"6,980",(10ml당:140원),별점 4.9점,"(30,200개)"
6000098014,면류/즉석식품/소스/오일,0000008839959,[삼양] 큰컵 불닭 볶음면 105g,980,(1개당:980원),별점 4.94점,"(27,966개)"
6000098014,면류/즉석식품/소스/오일,1000011724950,폰타나 클래식 프렌치 스테이크소스 265g,"3,480","(100g당:1,314원)",별점 4.81점,"(1,942개)"
6000098014,면류/즉석식품/소스/오일,1000042865867,노브랜드 링귀니 500g,980,(100g당:196원),별점 4.9점,"(1,084개)"
6000098014,면류/즉석식품/소스/오일,1000018102840,[피코크] 초마 짜장 820g,"6,980",(100g당:852원),별점 4.78점,"(8,134개)"
6000098014,면류/즉석식품/소스/오일,1000030953270,이마트 포도씨유 1L,"4,480",(100ml당:448원),별점 4.86점,"(7,140개)"
6000098014,면류/즉석식품/소스/오일,0000008844842,[농심] 무파마 탕면(122g5입) 610g,"4,650",(1개당:930원),별점 4.91점,"(17,056개)"
6000098014,면류/즉석식품/소스/오일,0000008764265,헬로 레몬 주스 200ml,"1,980",(100ml당:990원),별점 4.92점,"(6,119개)"
6000098014,면류/즉석식품/소스/오일,0000006977207,[해찬들]  사계절 쌈장 170g,"1,780","(100g당:1,048원)",별점 4.94점,"(25,761개)"
6000098014,면류/즉석식품/소스/오일,1000017987499,[청정원] 까르보나라 파스타소스 350g,"4,780","(100g당:1,366원)",별점 4.85점,"(7,566개)"
